show_id,Title,Year,Age,IMDb,Rotten Tomatoes
1,Breaking Bad,2008,18+,9.5,96%
2,Stranger Things,2016,16+,8.8,93%
3,Money Heist,2017,18+,8.4,91%
4,Sherlock,2010,16+,9.1,78%
5,Better Call Saul,2015,18+,8.7,97%
6,The Office,2005,16+,8.9,81%
7,Black Mirror,2011,18+,8.8,83%
8,Supernatural,2005,16+,8.4,93%
9,Peaky Blinders,2013,18+,8.8,92%
10,Avatar: The Last Airbender,2005,7+,9.2,100%
11,The Walking Dead,2010,18+,8.2,81%
12,Dark,2017,16+,8.7,94%
13,Ozark,2017,18+,8.4,81%
14,Attack on Titan,2013,16+,8.8,94%
15,Narcos,2015,18+,8.8,89%
16,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%
17,Community,2009,7+,8.5,88%
18,Mindhunter,2017,18+,8.6,96%
19,Parks and Recreation,2009,16+,8.6,93%
20,Dexter,2006,18+,8.6,72%
21,Marvel's Daredevil,2015,18+,8.6,92%
22,The Witcher,2019,18+,8.3,67%
23,Twin Peaks,1990,18+,8.8,89%
24,One-Punch Man,2015,16+,8.8,100%
25,Outlander,2014,18+,8.4,91%
26,House of Cards,2013,18+,8.7,78%
27,Shameless,2011,18+,8.6,85%
28,The Good Place,2016,16+,8.2,97%
29,The Haunting,2018,18+,8.7,93%
30,The Blacklist,2013,16+,8,91%
31,The Flash,2014,7+,7.7,89%
32,The Last Kingdom,2015,18+,8.4,91%
33,Mad Men,2007,16+,8.6,94%
34,Lucifer,2016,16+,8.2,87%
35,Orange Is the New Black,2013,18+,8.1,90%
36,Grey's Anatomy,2005,16+,7.6,83%
37,The End of the F***ing World,2017,18+,8.1,93%
38,Arrested Development,2003,16+,8.7,75%
39,The Vampire Diaries,2009,7+,7.7,85%
40,The Crown,2016,18+,8.7,89%
41,The 100,2014,16+,7.7,92%
42,When They See Us,2019,18+,8.9,96%
43,How to Get Away with Murder,2014,16+,8.1,88%
44,After Life,2019,18+,8.5,70%
45,Elite,2018,18+,7.6,97%
46,BoJack Horseman,2014,18+,8.7,93%
47,Never Have I Ever,2020,16+,8,97%
48,Penny Dreadful,2014,18+,8.2,91%
49,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%
50,Dead to Me,2019,18+,8.1,91%
51,Unorthodox,2020,18+,8.1,94%
52,Sense8,2015,18+,8.3,86%
53,Sacred Games,2018,18+,8.7,92%
54,American Crime Story,2016,18+,8.4,93%
55,Family Guy,1999,18+,8.1,71%
56,Pretty Little Liars,2010,16+,7.4,81%
57,Unbelievable,2019,18+,8.4,97%
58,Arrow,2012,16+,7.6,85%
59,The IT Crowd,2006,16+,8.5,87%
60,The Twilight Zone,1959,7+,9,82%
61,YOU,2018,18+,7.8,91%
62,Sex Education,2019,16+,8.3,94%
63,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%
64,Star Trek: The Next Generation,1987,7+,8.6,89%
65,Broadchurch,2013,18+,8.4,92%
66,Kingdom,2019,18+,8.4,96%
67,Altered Carbon,2018,18+,8.1,64%
68,The Sinner,2017,16+,8,95%
69,"Love, Death & Robots",2019,18+,8.5,78%
70,Marvel's Jessica Jones,2015,18+,8,83%
71,New Girl,2011,16+,7.7,94%
72,The Good Wife,2009,16+,8.3,94%
73,The Umbrella Academy,2019,16+,7.9,77%
74,Marvel's The Punisher,2017,18+,8.5,63%
75,Ash vs Evil Dead,2015,18+,8.4,99%
76,Master of None,2015,18+,8.3,100%
77,Bodyguard,2018,18+,8.1,93%
78,Schitt's Creek,2015,16+,8.4,50%
79,Narcos: Mexico,2018,18+,8.4,88%
80,The West Wing,1999,16+,8.8,75%
81,Bates Motel,2013,18+,8.2,93%
82,Atypical,2017,18+,8.3,87%
83,Once Upon a Time,2011,7+,7.7,80%
84,Gomorrah,2014,18+,8.7,94%
85,Making a Murderer,2015,16+,8.6,84%
86,Death Note,2006,18+,9,
87,Castlevania,2017,18+,8.2,93%
88,Riverdale,2017,16+,7,86%
89,Burn Notice,2007,7+,7.9,88%
90,Fauda,2015,16+,8.3,100%
91,Russian Doll,2019,18+,7.9,96%
92,Our Planet,2019,7+,9.3,93%
93,Big Mouth,2017,18+,8,100%
94,American Horror Story,2011,18+,8,
95,Gotham,2014,16+,7.8,77%
96,I Am Not Okay with This,2020,18+,7.6,85%
97,Criminal Minds,2005,16+,8.1,
98,The Vietnam War,2017,18+,9.1,98%
99,Waco,2018,18+,7.9,68%
100,Star Trek,1966,7+,8.3,80%
101,The OA,2016,16+,7.9,84%
102,Outer Banks,2020,18+,7.6,72%
103,The Midnight Gospel,2020,18+,8.4,90%
104,Good Girls,2018,16+,7.9,87%
105,Chilling Adventures of Sabrina,2018,16+,7.6,84%
106,Doctor Foster,2015,16+,7.7,85%
107,Gilmore Girls,2000,16+,8.1,85%
108,iZombie,2015,16+,7.9,91%
109,Anne with an E,2017,7+,8.6,62%
110,A Series of Unfortunate Events,2017,7+,7.8,96%
111,Neon Genesis Evangelion,1995,16+,8.5,100%
112,Into the Badlands,2015,16+,8,83%
113,Monty Python's Flying Circus,1969,16+,8.8,100%
114,Jane the Virgin,2014,7+,7.8,100%
115,Halt and Catch Fire,2014,16+,8.4,90%
116,Grace and Frankie,2015,7+,8.3,89%
117,NCIS,2003,16+,7.8,40%
118,Weeds,2005,18+,7.9,70%
119,GLOW,2017,18+,8,93%
120,Person of Interest,2011,16+,8.4,
121,13 Reasons Why,2017,18+,7.8,39%
122,Godless,2017,16+,8.3,85%
123,Locked Up,2015,16+,8.3,100%
124,Mushi-Shi,2005,16+,8.5,100%
125,Gossip Girl,2008,16+,7.4,84%
